YYYYMMDD,Date,Short Positions,Long Positions,Total Positions,Daily PnL,Cumulative PnL,ROR,Market Value,Net Market Value,Sharpe
20100622,6/22/2010,-1000,1000,2000,0,83850,0,224950,74620,4.57555
20100623,6/23/2010,-1000,500,1500,-575,83275,-0.0434618,210945,61390,4.32792
20100624,6/24/2010,-1500,500,2000,290,83565,0.017528,221255,49180,4.38129
20100625,6/25/2010,-1500,500,2000,0,83565,0,219190,49180,4.3643
20100628,6/28/2010,-1500,500,2000,345,83910,0.0276,220975,49525,4.45174
20100629,6/29/2010,0,500,500,2315,86225,0.0914009,128085,135935,4.65929
20100630,6/30/2010,0,1500,1500,0,86225,0,199010,209180,4.64145
20100701,7/1/2010,0,1500,1500,0,86225,0,197105,209180,4.62381
20100702,7/2/2010,0,1500,1500,0,86225,0,196035,209180,4.60637
20100706,7/6/2010,0,2000,2000,405,86630,0.0352021,207695,219325,4.71074
20100707,7/7/2010,0,1000,1000,2000,88630,0.0486578,139405,145675,4.84698
20100708,7/8/2010,-500,1000,1500,0,88630,0,151300,133470,4.82893
20100709,7/9/2010,-1000,500,1500,-6125,82505,-0.0450583,86235,-66445,4.59002
20100712,7/12/2010,-1500,500,2000,545,83050,0.0559548,215680,-194545,4.73826
20100713,7/13/2010,-1500,500,2000,0,83050,0,214210,-194545,4.72104
20100714,7/14/2010,-1500,500,2000,2675,85725,0.0561286,215125,-191870,4.86622
20100715,7/15/2010,-1500,500,2000,0,85725,0,214595,-191870,4.84869
20100716,7/16/2010,-1500,500,2000,0,85725,0,211920,-191870,4.83135
20100719,7/19/2010,-1500,0,1500,115,85840,0.0107678,200300,-202550,4.85389
20100720,7/20/2010,-1500,0,1500,1125,86965,0.0143428,149510,-148975,4.88852
20100721,7/21/2010,-1500,500,2000,0,86965,0,212945,-86340,4.87135
20100722,7/22/2010,-1500,0,1500,1100,88065,0.0175621,153320,-148975,4.91625
20100723,7/23/2010,-2000,0,2000,0,88065,0,217910,-213165,4.89918
20100726,7/26/2010,-2000,0,2000,0,88065,0,217750,-213165,4.88229
20100727,7/27/2010,-2000,0,2000,35,88100,0.00323326,220225,-213130,4.8777
20100728,7/28/2010,-2000,0,2000,0,88100,0,218335,-213130,4.86111
20100729,7/29/2010,-1500,0,1500,1265,89365,0.094657,203580,-200470,5.03335
20100730,7/30/2010,-1500,500,2000,0,89365,0,216030,-187565,5.01634
20100802,8/2/2010,-1500,0,1500,260,89625,0.0201472,206880,-200470,5.06626
20100803,8/3/2010,-1000,0,1000,80,89705,0.00760818,196150,-189955,5.07623
20100804,8/4/2010,-1500,500,2000,0,89705,0,220355,-192455,5.05935
20100805,8/5/2010,-1000,500,1500,180,89885,0.0139914,207100,-179590,5.09014
20100806,8/6/2010,-1000,1000,2000,0,89885,0,218215,-166815,5.07342
20100809,8/9/2010,-1000,1000,2000,0,89885,0,220005,-166815,5.05686
20100810,8/10/2010,-500,1000,1500,3760,93645,0.0298543,88365,-40870,5.132
20100811,8/11/2010,-500,1500,2000,0,93645,0,212155,84225,5.11541
20100812,8/12/2010,-500,1000,1500,800,94445,0.00639514,86120,-40870,5.12122
20100813,8/13/2010,-500,1000,1500,75,94520,0.00117169,146325,-101410,5.10904
